parameter,link,estimate,SE.estimate,lcl,ucl,siteID,decimalLatitude,decimalLongitude
D,log,742.185126,119.4253755,542.5245046,1015.325127,ABBY,45.762439,-122.33032
D,log,1001.048549,274.9519648,590.0633065,1698.289298,BART,44.063889,-71.287375
D,log,2127.806921,1435.999412,640.4116004,7069.769335,BLAN,39.033698,-78.041788
D,log,972.3060667,313.1591114,525.2732624,1799.785283,BONA,65.15401,-147.50258
D,log,251.5441052,72.76870754,144.3119855,438.4558681,CLBJ,33.40123,-97.57
D,log,125.1920053,17.20139919,95.75639848,163.6761453,CPER,40.815536,-104.74559
D,log,268.7955524,66.16485255,167.0975028,432.3885622,DCFS,47.16165,-99.10656
D,log,7472.666632,3642.965156,3022.89795,18472.5874,DEJU,63.88112,-145.75136
D,log,116.2596831,35.22928774,65.03386525,207.835008,DSNY,28.12505,-81.43619
D,log,65.73865819,40.61955214,21.56604349,200.3877615,GRSM,35.68896,-83.50195
D,log,242.2247651,145.2370161,81.7503814,717.7071936,GUAN,17.96955,-66.8687
D,log,741.1798754,79.24555744,601.4136005,913.4273108,HARV,42.53691,-72.17265
D,log,2677.368908,2149.267824,672.039136,10666.49825,HEAL,63.875798,-149.21335
D,log,1112.353788,412.8879235,550.0846031,2249.346633,JERC,31.194839,-84.468623
D,log,182.4404389,12.92629597,158.8133984,209.5825296,JORN,32.590694,-106.84254
D,log,4696.420069,1495.692573,2553.88094,8636.409441,KONZ,39.100774,-96.563075
D,log,247.0695803,57.32552232,157.7266937,387.0199524,MLBS,37.378314,-80.524847
D,log,93.54230609,10.24008009,75.5273714,115.8541978,MOAB,38.248283,-109.38827
D,log,147.0759647,51.17825738,75.81755323,285.3078009,NIWO,40.05425,-105.58237
D,log,333.8977223,92.95065563,195.4623196,570.3794429,NOGP,46.76972,-100.91535
D,log,1105.713997,236.4308142,730.573512,1673.484492,OAES,35.410599,-99.058779
D,log,215.8280689,15.76027016,187.0827817,248.9900721,ONAQ,40.177599,-112.45245
D,log,51.90452943,11.25563177,34.09859187,79.00854633,ORNL,35.964128,-84.282588
D,log,145.929534,32.18960373,95.19367814,223.7063355,OSBS,29.689282,-81.993431
D,log,49.35112622,10.16527164,33.09679682,73.58819866,RMNP,40.275903,-105.54596
D,log,1614.154854,724.4886051,697.0850677,3737.701485,SCBI,38.892925,-78.139494
D,log,155.7820215,16.5977393,126.4975688,191.8458865,SJER,37.10878,-119.73228
D,log,425.198186,25.55150126,377.9950429,478.295948,SRER,31.91068,-110.83549
D,log,589.3352242,138.783605,373.7747939,929.2119536,STEI,45.50894,-89.58637
D,log,827.3629617,119.8074159,623.8434173,1097.277701,STER,40.461894,-103.02929
D,log,304.7413313,397.6180843,43.17401926,2150.999156,TOOL,68.66109,-149.37047
D,log,477.8769808,127.9964173,285.2754453,800.5119703,TREE,45.49369,-89.58571
D,log,7770.790629,3701.096033,3203.230202,18851.34167,UKFS,39.040431,-95.19215
D,log,236.7134874,20.69028988,199.5096933,280.8549006,UNDE,46.23391,-89.537254
D,log,527.3069645,80.20945215,392.0357591,709.2532462,WOOD,47.1282,-99.241334
D,log,319.0888537,57.99259893,224.1122926,454.3155369,WREF,45.82049,-121.95191
D,log,35.98942199,10.35691252,20.70498788,62.55683425,YELL,44.95348,-110.53914
