parameter,link,estimate,SE.estimate,lcl,ucl,siteID,decimalLatitude,decimalLongitude
D,log,1150.490078,NA,NA,NA,ABBY,45.762439,-122.33032
D,log,2608.65657,312.6702679,2064.222789,3296.683447,BART,44.063889,-71.287375
D,log,1553.907994,320.2632464,1041.867444,2317.598144,BLAN,39.033698,-78.041788
D,log,972.3060667,313.1591114,525.2732624,1799.785283,BONA,65.15401,-147.50258
D,log,226.7612599,29.78474713,175.4860502,293.0185558,CLBJ,33.40123,-97.57
D,log,136.2725769,18.78063591,104.1477896,178.3063787,CPER,40.815536,-104.74559
D,log,392.8142654,82.82083832,261.0165386,591.1619544,DCFS,47.16165,-99.10656
D,log,7473.326205,3636.785343,3027.566117,18447.36082,DEJU,63.88112,-145.75136
D,log,519.2253935,191.895461,257.5031377,1046.958153,DELA,32.541727,-87.803877
D,log,126.5657834,36.64250888,72.58115081,220.7032728,DSNY,28.12505,-81.43619
D,log,120.0203068,16.26491314,92.1352902,156.3448058,GRSM,35.68896,-83.50195
D,log,242.2242485,145.2439439,81.74639718,717.7391124,GUAN,17.96955,-66.8687
D,log,1601.909978,127.7027015,1370.530137,1872.352536,HARV,42.53691,-72.17265
D,log,2677.368908,2149.267824,672.039136,10666.49825,HEAL,63.875798,-149.21335
D,log,487.9577008,59.99537443,383.8111341,620.3642798,JERC,31.194839,-84.468623
D,log,183.226375,12.98258625,159.496523,210.4867483,JORN,32.590694,-106.84254
D,log,1812.865584,601.7229742,962.0228137,3416.220051,KONA,39.110446,-96.612935
D,log,855.0349643,101.251062,678.480639,1077.532281,KONZ,39.100774,-96.563075
D,log,59.18172522,46.70901844,15.13108935,231.4755083,LENO,31.853861,-88.161181
D,log,356.4197772,60.93999194,255.5477463,497.1088943,MLBS,37.378314,-80.524847
D,log,107.1744536,11.03507881,87.63536019,131.0699639,MOAB,38.248283,-109.38827
D,log,234.5773313,41.9522171,165.6732082,332.1389436,NIWO,40.05425,-105.58237
D,log,649.4889339,144.5730309,422.0700737,999.4451196,NOGP,46.76972,-100.91535
D,log,1008.698425,212.0433258,671.0533259,1516.231979,OAES,35.410599,-99.058779
D,log,312.2523896,19.31013873,276.6409467,352.4480233,ONAQ,40.177599,-112.45245
D,log,161.5169745,18.50818145,129.1210878,202.0408402,ORNL,35.964128,-84.282588
D,log,192.6823852,33.04706887,138.0094323,269.0142327,OSBS,29.689282,-81.993431
D,log,196.7929553,31.0087328,144.7794562,267.4928355,RMNP,40.275903,-105.54596
D,log,848.3360084,106.3181165,664.2109252,1083.502177,SCBI,38.892925,-78.139494
D,log,283.7176123,74.70419439,170.8071713,471.2664164,SERC,38.890131,-76.560014
D,log,314.0302924,22.37827974,273.1432136,361.0377985,SJER,37.10878,-119.73228
D,log,650.2492267,230.6248849,331.1922277,1276.672643,SOAP,37.03337,-119.26219
D,log,381.8265253,25.01141591,335.8675938,434.0743141,SRER,31.91068,-110.83549
D,log,987.1044357,126.4750609,768.6782437,1267.598212,STEI,45.50894,-89.58637
D,log,709.646922,77.90368913,572.6361233,879.4393741,STER,40.461894,-103.02929
D,log,293.8634484,66.99252426,189.0377067,456.817467,TALL,32.95047,-87.393259
D,log,304.7413313,397.6180843,43.17401926,2150.999156,TOOL,68.66109,-149.37047
D,log,1045.166434,191.422148,732.102822,1492.103078,TREE,45.49369,-89.58571
D,log,2473.329009,437.41373,1753.487001,3488.680774,UKFS,39.040431,-95.19215
D,log,524.3285893,38.17684293,454.6829656,604.6421142,UNDE,46.23391,-89.537254
D,log,686.2868969,70.08137031,562.0942257,837.9194865,WOOD,47.1282,-99.241334
D,log,582.3531218,82.25184681,442.135581,767.0388293,WREF,45.82049,-121.95191
D,log,153.8826911,36.17127849,97.67702939,242.4304134,YELL,44.95348,-110.53914
